page_idx,section,subsection,machine,parameter,cc_msb,cc_lsb,nrpn_msb,nrpn_lsb,raw_line
85,C.8,MACHINE PARAMETERS,SY CHIP,Offset,4,23.0,,,Offset 4 23
85,C.8,MACHINE PARAMETERS,SY CHIP,Level,16,,,,Level 16
85,C.8,MACHINE PARAMETERS,SY CHIP,Tune,17,,,,Tune 17
85,C.8,MACHINE PARAMETERS,SY CHIP,Decay,18,,,,Decay 18
85,C.8,MACHINE PARAMETERS,SY CHIP,Waveform,19,,,,Waveform 19
85,C.8,MACHINE PARAMETERS,SY CHIP,Speed,20,,,,Speed 20
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Level,16,,,,Level 16
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Osc 1 Tune,17,,,,Osc 1 Tune 17
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Osc 1 Decay,18,,,,Osc 1 Decay 18
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Balance,19,,,,Balance 19
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Osc 2 Detune,20,,,,Osc 2 Detune 20
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Osc Config,21,,,,Osc Config 21
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Osc 2 Decay,22,,,,Osc 2 Decay 22
85,C.8,MACHINE PARAMETERS,SY DUAL VCO,Bend,23,,,,Bend 23
85,C.8,MACHINE PARAMETERS,SY RAW,Waveform,1,21.0,,,Waveform 1 21
85,C.8,MACHINE PARAMETERS,SY RAW,Waveform,2,22.0,,,Waveform 2 22
85,C.8,MACHINE PARAMETERS,SY RAW,Level,16,,,,Level 16
85,C.8,MACHINE PARAMETERS,SY RAW,Tune,17,,,,Tune 17
85,C.8,MACHINE PARAMETERS,SY RAW,Decay,18,,,,Decay 18
85,C.8,MACHINE PARAMETERS,SY RAW,Noise Level,19,,,,Noise Level 19
85,C.8,MACHINE PARAMETERS,SY RAW,Osc 2 Detune,20,,,,Osc 2 Detune 20
85,C.8,MACHINE PARAMETERS,SY RAW,Balance,23,,,,Balance 23
88,C.8,MACHINE PARAMETERS,UT IMPULSE,Level,16,,1.0,0.0,Level 16 1 0
88,C.8,MACHINE PARAMETERS,UT IMPULSE,Attack,17,,1.0,1.0,Attack 17 1 1
88,C.8,MACHINE PARAMETERS,UT IMPULSE,Decay,18,,1.0,2.0,Decay 18 1 2
88,C.8,MACHINE PARAMETERS,UT IMPULSE,Polarity,19,,1.0,3.0,Polarity 19 1 3
88,C.8,MACHINE PARAMETERS,UT NOISE,Level,16,,1.0,0.0,Level 16 1 0
88,C.8,MACHINE PARAMETERS,UT NOISE,LP Frequency,17,,1.0,1.0,LP Frequency 17 1 1
88,C.8,MACHINE PARAMETERS,UT NOISE,Decay,18,,1.0,2.0,Decay 18 1 2
88,C.8,MACHINE PARAMETERS,UT NOISE,Sweep Depth,19,,1.0,3.0,Sweep Depth 19 1 3
88,C.8,MACHINE PARAMETERS,UT NOISE,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
88,C.8,MACHINE PARAMETERS,UT NOISE,LP Resonance,21,,1.0,5.0,LP Resonance 21 1 5
88,C.8,MACHINE PARAMETERS,UT NOISE,HP Frequency,22,,1.0,6.0,HP Frequency 22 1 6
88,C.8,MACHINE PARAMETERS,UT NOISE,Attack,23,,1.0,7.0,Attack 23 1 7
